id,question,slug,start_date,end_date,volume,liquidity,active,closed,yes_percentage,no_percentage,outcome_details,total_volume,total_liquidity,end_date_iso,volume_24hr,spread,one_day_price_change,last_trade_price,bestBid,bestAsk
240227,"Will $ETH (Ethereum) be above $4,000 on January 12, 12pm ET?",will-eth-ethereum-be-above-4000-on-january-12-12pm-et,,,,,True,True,3.6897046561383685e-05,99.99996310295344,Yes: 0.00% | No: 100.00%,24783.8,10.25,2022-01-12,0,1,0,0,0,1
240298,"Will $ETH (Ethereum) be above $3,800 on January 12, 12pm ET?",will-eth-ethereum-be-above-3800-on-january-12-12pm-et,,,,,True,True,1.3935533849188173e-05,99.99998606446616,Yes: 0.00% | No: 100.00%,2428.99,503.46,2022-01-12,0,1,0,0,0,1
240392,Will Joe Biden's FiveThirtyEight approval rating be 42.3% or less on January 26?,will-joe-bidens-fivethirtyeight-approval-rating-be-42pt3-or-less-on-january-26,,,,,True,True,99.99994666990068,5.333009932566932e-05,Yes: 100.00% | No: 0.00%,10279.27,0,2022-01-26,0,1,0,0,0,1
240393,Will Joe Biden's FiveThirtyEight approval rating be between 42.4% and 42.6% on January 26?,will-joe-bidens-fivethirtyeight-approval-rating-be-between-42pt4-and-42pt6-on-january-26,,,,,True,True,6.00030536691536e-05,99.99993999694632,Yes: 0.00% | No: 100.00%,943.6,0,2022-01-26,0,1,0,0,0,1
240394,Will Joe Biden's FiveThirtyEight approval rating be between 42.7% and 42.9% on January 26?,will-joe-bidens-fivethirtyeight-approval-rating-be-between-42pt7-and-42pt9-on-january-26,,,,,True,True,3.870082040728313e-05,99.9999612991796,Yes: 0.00% | No: 100.00%,653.57,0,2022-01-26,0,1,0,0,0,1
240395,Will Joe Biden's FiveThirtyEight approval rating be 43.0% or more on January 26?,will-joe-bidens-fivethirtyeight-approval-rating-be-43pt0-or-more-on-january-26,,,,,True,True,1.778308270259879e-05,99.99998221691729,Yes: 0.00% | No: 100.00%,1707.32,300,2022-01-26,0,1,0,0,0,1
240422,"Will the floor price of Mutant Apes be above 7 ETH on February 1st, 2022?",will-the-floor-price-of-mutant-apes-be-above-7-eth-on-february-1st-2022,,,,,True,True,99.99997365438273,2.634561726916745e-05,Yes: 100.00% | No: 0.00%,684.93,50,2022-02-01,0,1,0,0,0,1
240423,"Will the floor price of Mutant Apes be above 10 ETH on February 1st, 2022?",will-the-floor-price-of-mutant-apes-be-above-10-eth-on-february-1st-2022,,,,,True,True,99.99997376308572,2.6236914280839894e-05,Yes: 100.00% | No: 0.00%,3201.71,50,2022-02-01,0,1,0,0,0,1
240424,"Will the floor price of Mutant Apes be above 15 ETH on February 1st, 2022?",will-the-floor-price-of-mutant-apes-be-above-15-eth-on-february-1st-2022,,,,,True,True,99.99997401856793,2.5981432068205786e-05,Yes: 100.00% | No: 0.00%,16713.62,50,2022-02-01,0,1,0,0,0,1
240425,"Will the floor price of Mutant Apes be above 20 ETH on February 1st, 2022?",will-the-floor-price-of-mutant-apes-be-above-20-eth-on-february-1st-2022,,,,,True,True,99.9999736626192,2.633738079460685e-05,Yes: 100.00% | No: 0.00%,3480.17,50,2022-02-01,0,1,0,0,0,1
240451,"Will the floor price of CryptoPunks be above 50 ETH on February 1st, 2022?",will-the-floor-price-of-cryptopunks-be-above-50-eth-on-february-1st-2022,,,,,True,True,99.99997367906734,2.632093265330909e-05,Yes: 100.00% | No: 0.00%,5685.93,50,2022-02-01,0,1,0,0,0,1
240454,"Will the floor price of CryptoPunks be above 60 ETH on February 1st, 2022?",will-the-floor-price-of-cryptopunks-be-above-60-eth-on-february-1st-2022,,,,,True,True,99.99996851743701,3.148256298681887e-05,Yes: 100.00% | No: 0.00%,33061.53,82.05,2022-02-01,0,1,0,0,0,1
240456,"Will the floor price of CryptoPunks be above 70 ETH on February 1st, 2022?",will-the-floor-price-of-cryptopunks-be-above-70-eth-on-february-1st-2022,,,,,True,True,99.99998320778064,1.679221934380159e-05,Yes: 100.00% | No: 0.00%,3717.64,59.72,2022-02-01,0,1,0,0,0,1
240486,"Will the floor price of Doodles be above 7 ETH on February 1st, 2022?",will-the-floor-price-of-doodles-be-above-7-eth-on-february-1st-2022,,,,,True,True,99.99997390221993,2.6097780068327852e-05,Yes: 100.00% | No: 0.00%,762.23,50,2022-02-01,0,1,0,0,0,1
240489,"Will the floor price of Doodles be above 9 ETH on February 1st, 2022?",will-the-floor-price-of-doodles-be-above-9-eth-on-february-1st-2022,,,,,True,True,99.99997394919953,2.6050800472053167e-05,Yes: 100.00% | No: 0.00%,1650.78,50,2022-02-01,0,1,0,0,0,1
240492,"Will the floor price of Doodles be above 12 ETH on February 1st, 2022?",will-the-floor-price-of-doodles-be-above-12-eth-on-february-1st-2022,,,,,True,True,99.99997364617325,2.635382675167072e-05,Yes: 100.00% | No: 0.00%,12339.44,50,2022-02-01,0,1,0,0,0,1
